iter	RMSE
0	35783.50185
1	35000.33522
2	34171.2794
3	33397.15811
4	32649.4004
5	31970.7842
6	31323.55717
7	30719.9864
8	30142.65537
9	29589.58514
10	29099.65556
11	28557.50747
12	28084.60251
13	27621.93402
14	27187.96099
15	26749.36602
16	26350.37496
17	26019.33135
18	25683.8668
19	25319.67546
20	24935.82076
21	24629.67839
22	24314.45284
23	24007.15449
24	23749.49637
25	23510.35392
26	23209.61948
27	22996.7885
28	22729.46055
29	22477.8072
30	22218.18562
31	21960.41386
32	21750.24739
33	21579.32584
34	21397.522
35	21246.13506
36	21058.46765
37	20885.12278
38	20744.11118
39	20574.6355
40	20428.27215
41	20284.00156
42	20150.14174
43	20009.34378
44	19876.2456
45	19716.36096
46	19603.93797
47	19493.40371
48	19380.14391
49	19278.45234
50	19168.3444
51	19085.46093
52	19005.18628
53	18907.36387
54	18837.98703
55	18771.12357
56	18668.65473
57	18616.46293
58	18545.07149
59	18427.72371
60	18353.20964
61	18273.46255
62	18199.2816
63	18144.32316
64	18072.66071
65	18000.17446
66	17954.15022
67	17888.89643
68	17836.04472
69	17782.26084
70	17698.11217
71	17607.36948
72	17565.24431
73	17521.94721
74	17489.4795
75	17422.54809
76	17372.60106
77	17296.35072
78	17250.81391
79	17207.63825
80	17166.69051
81	17125.52038
82	17085.64725
83	17049.51404
84	16996.71689
85	16960.40847
86	16936.67865
87	16895.23271
88	16853.70539
89	16809.95635
90	16771.47478
91	16731.68152
92	16676.85607
93	16638.18212
94	16606.47713
95	16569.0735
96	16540.32892
97	16500.93643
98	16477.43975
99	16446.62806
100	16425.6385
101	16395.13397
102	16345.37734
103	16310.61483
104	16281.92038
105	16250.7711
106	16219.12502
107	16185.77228
108	16146.0134
109	16116.94947
110	16101.08397
111	16079.32487
112	16049.17997
113	16030.60456
114	15997.08715
115	15978.10951
116	15945.95992
117	15925.23701
118	15899.74324
119	15878.46112
120	15852.14785
121	15833.39051
122	15794.39908
123	15773.70019
124	15753.37164
125	15723.6575
126	15700.80813
127	15685.68326
128	15651.99047
129	15625.88642
130	15591.31561
131	15563.2466
132	15547.96336
133	15533.8562
134	15518.93444
135	15490.13102
136	15477.11674
137	15465.43879
138	15453.5065
139	15435.11345
140	15404.91401
141	15387.08611
142	15357.47949
143	15332.25788
144	15314.92499
145	15308.95216
146	15297.96324
147	15280.65104
148	15265.2368
149	15252.30873
150	15236.72305
151	15204.35403
152	15182.65501
153	15166.27373
154	15147.52074
155	15135.94316
156	15109.115
157	15083.66764
158	15064.77757
159	15046.1268
160	15030.36079
161	15007.01337
162	14994.70434
163	14973.80329
164	14950.60781
165	14933.57264
166	14923.44017
167	14910.90188
168	14905.54517
169	14883.51107
170	14868.18839
171	14850.2182
172	14846.41658
173	14816.82426
174	14811.80352
175	14809.89343
176	14803.74492
177	14789.43942
178	14781.05519
179	14748.05636
180	14724.50649
181	14707.07391
182	14690.74378
183	14676.54518
184	14659.75827
185	14654.54966
186	14631.70599
187	14624.15813
188	14613.90035
189	14610.89869
190	14593.07036
191	14576.10155
192	14546.38014
193	14521.05495
194	14513.02632
195	14501.52298
196	14494.50819
197	14476.8637
198	14449.97191
199	14426.46978
200	14422.46065
201	14420.51952
202	14403.02039
203	14399.2973
204	14396.8683
205	14394.37087
206	14373.71138
207	14357.37155
208	14338.30798
209	14336.08127
210	14312.11674
211	14309.73213
212	14307.39966
213	14281.35567
214	14261.16447
215	14258.76824
216	14256.42424
217	14253.74849
218	14225.18693
219	14222.91807
220	14190.03375
221	14179.05552
222	14176.96472
223	14174.9197
224	14172.78535
225	14161.37991
226	14159.30925
227	14135.59701
228	14105.37513
229	14085.56098
230	14063.04509
231	14061.06221
232	14057.3521
233	14045.60834
234	14043.72495
235	14041.61453
236	14028.50353
237	14026.60127
238	14020.71403
239	14004.66234
240	14002.81622
241	14001.01019
242	13999.24805
243	13977.61744
244	13975.9665
245	13974.29212
246	13972.61258
247	13952.09273
248	13950.44157
249	13948.82625
250	13940.91974
251	13924.60409
252	13921.1944
253	13890.92734
254	13859.8311
255	13858.25256
256	13840.82269
257	13825.98216
258	13824.46845
259	13822.94644
260	13813.07059
261	13784.67177
262	13783.21048
263	13771.44444
264	13770.03123
265	13759.93654
266	13758.54579
267	13732.5363
268	13731.15488
269	13716.42258
270	13692.07713
271	13690.70017
272	13689.35372
273	13675.82255
274	13674.52006
275	13669.1741
276	13642.37633
277	13619.09771
278	13599.10038
279	13587.72681
280	13579.8343
281	13568.90606
282	13567.62405
283	13550.43249
284	13549.00995
285	13535.7189
286	13517.44601
287	13516.19132
288	13511.59784
289	13510.40999
290	13491.01711
291	13489.82179
292	13478.48728
293	13451.151
294	13429.34103
295	13407.04036
296	13397.24759
297	13394.0475
298	13392.44557
299	13390.56937
300	13374.40524
301	13364.22552
302	13362.8529
303	13361.78643
304	13345.73492
305	13334.6354
306	13333.42013
307	13317.11661
308	13316.04172
309	13296.82847
310	13278.69932
311	13253.22491
312	13252.11931
313	13251.1005
314	13244.71167
315	13223.13795
316	13210.14828
317	13194.58136
318	13175.548
319	13157.56354
320	13144.22756
321	13143.12465
322	13142.13691
323	13131.55212
324	13130.62567
325	13116.35393
326	13108.9125
327	13091.0858
328	13080.78209
329	13059.473
330	13051.99097
331	13040.63994
332	13039.7075
333	13031.5075
334	13030.56671
335	13029.42178
336	13017.93331
337	13001.71916
338	12999.36372
339	12988.6471
340	12987.49752
341	12970.97866
342	12970.11456
343	12964.07873
344	12956.54705
345	12942.79276
346	12928.52356
347	12927.62959
348	12917.03367
349	12916.1445
350	12900.00962
351	12879.11703
352	12878.02189
353	12868.93407
354	12855.05057
355	12849.0733
356	12834.45394
357	12819.01408
358	12818.18374
359	12817.24893
360	12813.4498
361	12809.27057
362	12779.90813
363	12774.4249
364	12750.94784
365	12738.14987
366	12726.37996
367	12712.65978
368	12711.79533
369	12711.00278
370	12706.03349
371	12705.01588
372	12696.5075
373	12693.14364
374	12689.86205
375	12678.23992
376	12654.88705
377	12654.10144
378	12647.18237
379	12644.15808
380	12643.37161
381	12642.14601
382	12639.11149
383	12622.9793
384	12607.38791
385	12604.30703
386	12599.37716
387	12584.66574
388	12581.87922
389	12573.62144
390	12570.67737
391	12551.16046
392	12524.45358
393	12516.79212
394	12513.43379
395	12499.76816
396	12499.08119
397	12496.04198
398	12472.0683
399	12469.99056
400	12461.06111
401	12460.39793
402	12456.56241
403	12453.76058
404	12453.04473
405	12450.18803
406	12435.99368
407	12432.53256
408	12420.17231
409	12405.874
410	12403.88164
411	12391.76613
412	12384.19068
413	12372.41149
414	12356.61807
415	12348.92339
416	12338.13267
417	12336.69322
418	12325.55728
419	12312.38275
420	12293.48343
421	12290.5474
422	12289.12425
423	12288.43507
424	12279.25797
425	12271.45909
426	12268.86491
427	12261.95747
428	12259.37764
429	12251.25782
430	12237.38029
431	12236.05454
432	12229.48071
433	12211.49144
434	12193.57866
435	12192.74222
436	12181.3492
437	12180.78069
438	12175.60312
439	12168.60438
440	12156.78085
441	12146.47568
442	12126.87648
443	12126.26295
444	12111.07025
445	12093.75972
446	12088.57729
447	12082.63923
448	12079.98726
449	12079.06527
450	12078.44946
451	12068.6873
452	12059.35274
453	12050.71595
454	12030.31191
455	12011.81931
456	12009.35729
457	12007.69233
458	11997.13526
459	11994.43272
460	11975.56925
461	11957.25923
462	11956.69124
463	11943.69185
464	11934.34818
465	11931.87862
466	11916.24125
467	11903.53904
468	11885.705
469	11885.12599
470	11874.71778
471	11856.62051
472	11844.95755
473	11829.9113
474	11821.72912
475	11816.08897
476	11810.85764
477	11805.22368
478	11796.32166
479	11787.57475
480	11771.37893
481	11761.29041
482	11750.12598
483	11739.5609
484	11737.35097
485	11720.36205
486	11718.15664
487	11713.16652
488	11712.54019
489	11710.80766
490	11709.0869
491	11702.16427
492	11687.66773
493	11679.46607
494	11665.65617
495	11665.16206
496	11657.14967
497	11652.30628
498	11647.9038
499	11647.08879
500	11636.94159
501	11630.17492
502	11616.27339
503	11607.44129
504	11605.89831
505	11592.70821
506	11590.7524
507	11586.48403
508	11573.24076
509	11560.11242
510	11544.00744
511	11531.99937
512	11531.23345
513	11524.95789
514	11513.0532
515	11508.28822
516	11495.41687
517	11485.25471
518	11483.26429
519	11466.97899
520	11466.34344
521	11461.47597
522	11447.50348
523	11445.80831
524	11440.04751
525	11435.24288
526	11419.21805
527	11411.99882
528	11411.29595
529	11396.83872
530	11381.05965
531	11374.65835
532	11355.02721
533	11350.93577
534	11348.00613
535	11336.19649
536	11323.49547
537	11323.0269
538	11320.7051
539	11311.20432
540	11304.25369
541	11295.34945
542	11285.17354
543	11278.78366
544	11276.12065
545	11267.26645
546	11255.50054
547	11241.05612
548	11237.29232
549	11231.57231
550	11230.87
551	11229.25444
552	11227.88516
553	11208.67514
554	11204.51537
555	11199.18632
556	11193.91696
557	11183.31116
558	11174.51661
559	11169.33861
560	11166.52769
561	11166.03058
562	11151.68883
563	11137.02037
564	11122.82403
565	11119.47024
566	11118.0732
567	11111.68277
568	11108.07313
569	11104.17682
570	11100.01626
571	11096.02498
572	11080.76505
573	11069.29165
574	11067.36102
575	11054.94247
576	11053.67402
577	11049.46136
578	11045.31253
579	11039.91788
580	11036.81051
581	11030.4813
582	11024.36475
583	11013.21672
584	10999.77821
585	10994.47245
586	10983.70453
587	10982.411
588	10981.83499
589	10968.89836
590	10961.52354
591	10958.68293
592	10952.30672
593	10940.11268
594	10933.65523
595	10919.48173
596	10912.30871
597	10905.24146
598	10897.30095
599	10888.80357
600	10883.35217
601	10880.63186
602	10870.47497
603	10859.54642
604	10854.49704
605	10848.92561
606	10847.34296
607	10846.87897
608	10844.56132
609	10841.02773
610	10830.68201
611	10825.98743
612	10819.34816
613	10818.16736
614	10812.30957
615	10811.85582
616	10810.2942
617	10802.98982
618	10800.56159
619	10795.77349
620	10789.13166
621	10782.35749
622	10781.19256
623	10772.89063
624	10772.4391
625	10771.26657
626	10770.84504
627	10766.75082
628	10763.33481
629	10762.70706
630	10757.44248
631	10743.70248
632	10737.7019
633	10727.93936
634	10725.74419
635	10724.4152
636	10721.91605
637	10721.07822
638	10706.81154
639	10704.10275
640	10703.66848
641	10702.82973
642	10694.47751
643	10687.79794
644	10677.56344
645	10672.09529
646	10663.24287
647	10657.36819
648	10648.8803
649	10646.41919
650	10639.3501
651	10635.8141
652	10634.78084
653	10630.56042
654	10629.54542
655	10626.40649
656	10621.57105
657	10615.05008
658	10611.5519
659	10611.08182
660	10603.99447
661	10597.96189
662	10594.97146
663	10590.17629
664	10589.76393
665	10588.68555
666	10585.56153
667	10584.67691
668	10580.07269
669	10568.24067
670	10556.06055
671	10546.33396
672	10543.79474
673	10537.12411
674	10532.60157
675	10528.98718
676	10528.31259
677	10524.2474
678	10512.06197
679	10503.68874
680	10500.61966
681	10494.5011
682	10487.86276
683	10487.4587
684	10484.54204
685	10484.10251
686	10477.76388
687	10466.93734
688	10461.75645
689	10453.36879
690	10452.43213
691	10443.89746
692	10443.49955
693	10440.73473
694	10428.73437
695	10427.53423
696	10415.99379
697	10413.12614
698	10406.86412
699	10402.38145
700	10401.95947
701	10396.63996
702	10391.55826
703	10388.87112
704	10382.48764
705	10374.42233
706	10374.0208
707	10367.49973
708	10362.147
709	10354.15791
710	10353.24886
711	10352.87539
712	10347.06873
713	10344.4713
714	10338.53776
715	10335.03441
716	10327.64951
717	10327.28014
718	10323.60352
719	10313.72916
720	10307.76975
721	10307.40548
722	10306.21511
723	10303.51198
724	10302.34686
725	10301.20635
726	10297.45197
727	10294.55195
728	10294.18099
729	10284.26806
730	10279.05874
731	10275.51847
732	10269.78865
733	10262.1757
734	10252.68338
735	10247.00641
736	10246.16257
737	10240.62212
738	10229.24701
739	10221.14309
740	10218.60291
741	10216.99477
742	10211.18143
743	10201.4777
744	10190.88112
745	10190.51852
746	10189.40113
747	10189.01498
748	10180.9725
749	10172.07681
750	10163.09613
751	10162.28984
752	10158.54346
753	10152.39681
754	10147.76101
755	10147.40512
756	10143.7461
757	10138.67793
758	10138.341
759	10137.87125
760	10135.58236
761	10130.71727
762	10126.29056
763	10125.89952
764	10119.51126
765	10117.75165
766	10114.51242
767	10111.32541
768	10108.72546
769	10108.38789
770	10103.4173
771	10102.37883
772	10099.86843
773	10098.95459
774	10093.87895
775	10091.32066
776	10089.85587
777	10087.41577
778	10086.27614
779	10085.36679
780	10080.6533
781	10071.86925
782	10071.39562
783	10066.99345
784	10066.6984
785	10060.49512
786	10050.86668
787	10045.8463
788	10040.04886
789	10039.36052
790	10033.02935
791	10025.35251
792	10015.01775
793	10010.00077
794	10007.69618
795	10001.94013
796	10001.60847
797	9995.444555
798	9992.474123
799	9988.178311
800	9987.852559
801	9981.620299
802	9981.302439
803	9975.827722
804	9975.519043
805	9969.598188
806	9966.527673
807	9963.716716
808	9962.723429
809	9959.929968
810	9958.61701
811	9957.374721
812	9949.815245
813	9949.515223
814	9948.564843
815	9945.220016
816	9940.399178
817	9939.966672
818	9934.239365
819	9927.777944
820	9927.364179
821	9919.227234
822	9918.837405
823	9918.45338
824	9916.416901
825	9910.643644
826	9905.188283
827	9904.879713
828	9902.647427
829	9899.193109
830	9898.27474
831	9897.999814
832	9896.793993
833	9889.329314
834	9887.902132
835	9884.112796
836	9879.795888
837	9878.289507
838	9873.361183
839	9869.635439
840	9868.046279
841	9867.778617
842	9863.006607
843	9859.367378
844	9854.679219
845	9854.269189
