iter	Passed	Remaining
0	59	59930
1	60	30099
2	60	20142
3	60	15169
4	61	12186
5	61	10193
6	61	8769
7	62	7705
8	62	6873
9	62	6210
10	63	5664
11	63	5209
12	63	4825
13	63	4499
14	64	4214
15	64	3973
16	64	3756
17	65	3564
18	65	3395
19	66	3236
20	66	3091
21	66	2961
22	66	2843
23	67	2733
24	67	2632
25	67	2540
26	68	2454
27	68	2374
28	68	2298
29	69	2233
30	69	2172
31	69	2109
32	70	2052
33	70	1999
34	70	1947
35	70	1899
36	71	1855
37	71	1812
38	71	1770
39	72	1732
40	72	1694
41	72	1659
42	73	1625
43	73	1592
44	73	1564
45	74	1535
46	74	1506
47	74	1478
48	74	1453
49	75	1428
50	75	1403
51	75	1380
52	76	1358
53	76	1336
54	76	1315
55	76	1294
56	77	1275
57	77	1256
58	77	1238
59	77	1221
60	78	1204
61	78	1188
62	78	1172
63	79	1156
64	79	1141
65	79	1127
66	79	1113
67	80	1099
68	80	1085
69	80	1072
70	80	1059
71	81	1047
72	81	1035
73	81	1025
74	82	1012
75	82	1002
76	82	991
77	83	981
78	83	971
79	83	961
80	83	952
81	84	944
82	84	936
83	85	927
84	85	917
85	85	909
86	85	900
87	86	892
88	86	884
89	86	876
90	86	868
91	87	861
92	87	854
93	87	846
94	88	839
95	88	832
96	88	825
97	88	818
98	89	812
99	89	805
100	89	799
101	90	793
102	90	786
103	90	780
104	90	774
105	91	768
106	91	762
107	91	756
108	91	751
109	92	746
110	92	741
111	92	735
112	93	730
113	93	726
114	93	721
115	93	716
116	94	711
117	94	706
118	94	703
119	95	698
120	95	694
121	95	689
122	96	685
123	96	680
124	96	676
125	96	672
126	97	668
127	97	664
128	97	660
129	98	657
130	98	653
131	98	649
132	99	646
133	99	642
134	99	638
135	99	634
136	100	631
137	100	627
138	100	623
139	100	620
140	101	617
141	101	613
142	101	610
143	102	607
144	102	604
145	102	601
146	103	598
147	103	595
148	104	596
149	104	593
150	104	590
151	105	586
152	105	583
153	105	580
154	105	577
155	106	575
156	106	572
157	106	569
158	107	566
159	107	564
160	107	561
161	107	558
162	108	556
163	108	553
164	108	551
165	109	548
166	109	545
167	109	543
168	110	541
169	110	538
170	110	536
171	110	534
172	111	531
173	111	529
174	111	527
175	112	524
176	112	521
177	112	519
178	112	517
179	113	514
180	113	513
181	113	511
182	114	509
183	114	507
184	114	505
185	114	503
186	115	501
187	115	499
188	115	497
189	116	494
190	116	492
191	116	490
192	116	489
193	117	487
194	117	485
195	117	483
196	118	481
197	118	479
198	118	477
199	118	475
200	119	473
201	119	472
202	119	470
203	120	468
204	120	466
205	120	464
206	120	463
207	121	461
208	121	459
209	121	458
210	122	456
211	122	455
212	122	453
213	122	451
214	123	450
215	123	448
216	123	446
217	124	444
218	124	443
219	124	441
220	124	440
221	125	438
222	125	436
223	125	435
224	125	433
225	126	432
226	126	430
227	126	429
228	127	427
229	127	426
230	127	424
231	127	423
232	128	421
233	128	420
234	128	418
235	128	417
236	129	415
237	129	414
238	129	413
239	130	411
240	130	410
241	130	408
242	130	407
243	131	406
244	131	404
245	131	403
246	132	402
247	132	401
248	132	399
249	132	398
250	133	397
251	133	396
252	133	394
253	134	393
254	134	392
255	134	391
256	134	390
257	135	388
258	135	387
259	135	386
260	135	385
261	136	383
262	136	382
263	136	381
264	137	380
265	137	379
266	137	377
267	137	376
268	138	375
269	138	374
270	138	373
271	139	372
272	139	371
273	139	370
274	140	369
275	140	368
276	140	367
277	140	366
278	141	365
279	141	364
280	142	363
281	142	362
282	142	361
283	142	360
284	143	359
285	143	358
286	143	356
287	143	355
288	144	354
289	144	353
290	144	352
291	145	351
292	145	350
293	145	349
294	145	348
295	146	347
296	146	346
297	146	345
298	147	344
299	147	343
300	147	342
301	147	341
302	148	340
303	148	339
304	148	338
305	148	337
306	149	336
307	149	335
308	149	334
309	150	334
310	150	333
311	150	332
312	150	331
313	151	330
314	151	329
315	151	328
316	152	327
317	152	326
318	152	325
319	152	324
320	153	324
321	153	323
322	153	322
323	154	321
324	154	320
325	154	319
326	154	318
327	155	318
328	155	317
329	155	316
330	156	315
331	156	314
332	156	314
333	157	313
334	157	312
335	157	311
336	157	310
337	158	309
338	158	309
339	158	308
340	159	307
341	159	306
342	159	305
343	159	304
344	160	304
345	160	303
346	160	302
347	161	301
348	161	301
349	161	300
350	161	299
351	162	298
352	162	297
353	162	297
354	163	296
355	163	295
356	163	295
357	164	294
358	164	293
359	164	293
360	165	292
361	165	291
362	165	290
363	165	289
364	166	289
365	166	288
366	166	287
367	167	286
368	167	286
369	167	285
370	167	284
371	168	283
372	168	282
373	168	282
374	168	281
375	169	280
376	169	280
377	169	279
